Gemeinde,Kanton,Einwohner,Fläche
Genolier,VD,1989,4.85
Genthod,GE,2893,2.81
Gerlafingen,SO,5502,1.89
Geroldswil,ZH,5046,1.90
Gersau,SZ,2364,14.36
Gerzensee,BE,1237,7.81
Geuensee,LU,2882,6.43
Gibloux,FR,7622,36.12
Giebenach,BL,1086,1.33
Giez,VD,413,4.77
Giffers,FR,1664,5.21
Gilly,VD,1428,7.74
Gimel,VD,2311,18.91
Gingins,VD,1252,12.60
Giornico,TI,806,19.55
Gipf-Oberfrick,AG,3731,10.18
Gisikon,LU,1421,1.10
Giswil,OW,3676,85.90
Givisiez,FR,3143,3.47
Givrins,VD,1031,3.94
Gland,VD,13258,8.37
Glarus,GL,12539,103.58
Glarus Nord,GL,18832,147.07
Glarus Süd,GL,9480,430.06
Glattfelden,ZH,5266,12.28
Gletterens,FR,1094,2.59
Goldach,SG,9476,4.74
Gollion,VD,997,5.48
Gommiswald,SG,5316,33.65
Goms,VS,1160,128.96
Gondiswil,BE,711,9.37
Gonten,AI,1442,24.76
Gontenschwil,AG,2130,9.75
Gordola,TI,4650,6.94
Göschenen,UR,428,104.13
Gossau (SG),SG,17990,27.44
Gossau (ZH),ZH,10282,18.32
Gottlieben,TG,337,0.31
Goumoëns,VD,1153,10.67
Graben,BE,336,3.17
Grabs,SG,7220,54.68
Grächen,VS,1258,14.26
Grancia,TI,477,0.61
Grancy,VD,407,5.63
Grandcour,VD,967,10.22
Grandevent,VD,226,3.44
Grandfontaine,JU,387,8.95
Grandson,VD,3358,7.85
Grandval,BE,388,8.23
Grandvillard,FR,845,24.33
Granges (Veveyse),FR,854,4.47
Granges-Paccot,FR,3839,3.95
Grangettes,FR,218,3.36
Gränichen,AG,8147,17.28
Gravesano,TI,1359,0.71
Greifensee,ZH,5307,2.27
Grellingen,BL,1860,3.30
Grenchen,SO,17577,26.04
Greng,FR,178,0.97
Grengiols,VS,431,58.53
Grens,VD,406,2.55
Greppen,LU,1185,3.34
Gretzenbach,SO,2772,5.83
Grimisuat,VS,3584,4.44
Grindel,SO,502,3.05
Grindelwald,BE,3800,171.34
Grolley,FR,2084,5.35
Grône,VS,2485,20.26
Grono,GR,1397,37.11
Grossaffoltern,BE,3033,15.14
Grossdietwil,LU,855,10.20
Grosshöchstetten,BE,4143,6.92
Grosswangen,LU,3293,19.72
Grub (AR),AR,980,4.20
Grüningen,ZH,3716,8.75
Grüsch,GR,2115,43.28
Gruyères,FR,2205,28.48
Gryon,VD,1376,15.22
Gsteig,BE,981,62.42
Gsteigwiler,BE,402,7.03
Guggisberg,BE,1490,54.95
Gündlischwand,BE,351,16.77
Günsberg,SO,1179,5.30
Gunzgen,SO,1689,3.90
Gurbrü,BE,254,1.87
Gurmels,FR,4487,17.28
Gurtnellen,UR,512,83.41
Gurzelen,BE,884,4.48
Guttannen,BE,245,200.84
Guttet-Feschel,VS,414,10.41
Güttingen,TG,1668,9.56
Gy,GE,473,3.19
Habkern,BE,634,50.96
Habsburg,AG,428,2.24
Häfelfingen,BL,253,3.97
Hagenbuch,ZH,1095,8.15
Hägendorf,SO,5177,13.90
Häggenschwil,SG,1389,9.12
Hägglingen,AG,2437,7.76
Hagneck,BE,420,1.85
Hallau,SH,2180,15.34
Hallwil,AG,949,2.20
Halten,SO,850,1.88
Härkingen,SO,1644,5.51
Hasle (LU),LU,1739,40.33
Hasle bei Burgdorf,BE,3302,21.92
Hasliberg,BE,1158,41.75
Hauenstein-Ifenthal,SO,306,5.31
Hauptwil-Gottshaus,TG,2017,12.51
Hausen (AG),AG,3734,3.17
Hausen am Albis,ZH,3801,13.63
Haut-Intyamon,FR,1588,60.32
Haute-Ajoie,JU,1096,40.93
Haute-Sorne,JU,7167,71.05
Hautemorges,VD,4106,32.95
Hauterive (FR),FR,2597,11.93
Hauterive (NE),NE,2636,2.16
Hauteville,FR,678,10.54
Häutligen,BE,256,3.06
Hedingen,ZH,3795,6.56
Hefenhofen,TG,1277,6.18
Heiden,AR,4188,7.49
Heiligenschwendi,BE,725,5.51
Heimberg,BE,6968,5.40
Heimenhausen,BE,1136,5.84
Heimiswil,BE,1632,23.31
Heitenried,FR,1395,9.10
Hellikon,AG,780,7.07
Hellsau,BE,214,1.50
Hemberg,SG,909,20.22
Hemishofen,SH,471,7.89
Hemmiken,BL,258,3.41
Hendschiken,AG,1336,3.49
Henggart,ZH,2293,3.04
Henniez,VD,391,2.61
Herbetswil,SO,568,16.31
Herbligen,BE,593,2.74
Herdern,TG,1117,13.73
Hérémence,VS,1433,107.51
Hergiswil (NW),NW,5863,14.25
Hergiswil bei Willisau,LU,1908,31.34
Herisau,AR,15649,25.23
Hermance,GE,1073,1.45
Hermenches,VD,382,4.78
Hermrigen,BE,307,3.45
Herrliberg,ZH,6567,8.98
Hersberg,BL,350,1.69
Herznach,AG,1568,6.22
Herzogenbuchsee,BE,7293,9.83
Hettlingen,ZH,3101,5.82
